pre_cumu_value_y,cumu_value_y,mom,update_dt,item_name,cls_type,source,pre_year_value,cumu_yoy,datemonth,yoy,datadate,curr_month_value,pre_month_value
10.7,3,#DIV/0!,2018-06-01 15:59:56,西南,地区,http://oil.chem99.com/news/28156799.html,4.4,-71.96%,39.11,-65.91%,2018-05-10,1.5,0
697.85,730.04,12.21%,2018-06-01 15:59:56,总计,地区,http://oil.chem99.com/news/28156799.html,191.53,4.61%,39.11,9.75%,2018-05-10,210.21,187.33
154.77,157.65,-20.86%,2018-06-01 16:00:01,华北,地区,http://oil.chem99.com/news/26783529.html,14.1,1.86%,13.85,-1.77%,2017-12-08,13.85,17.5
323.66,412.63,-12.48%,2018-06-01 16:00:01,东北,地区,http://oil.chem99.com/news/26783529.html,28.4,27.49%,13.85,27.64%,2017-12-08,36.25,41.42
592.45,647.64,-0.72%,2018-06-01 16:00:01,山东,地区,http://oil.chem99.com/news/26783529.html,58.4,9.32%,13.85,17.29%,2017-12-08,68.5,69
543.39,617.53,-2.96%,2018-06-01 16:00:01,华东,地区,http://oil.chem99.com/news/26783529.html,54.4,13.64%,13.85,20.59%,2017-12-08,65.6,67.6
16.86,21.36,-40.00%,2018-06-01 16:00:01,华中,地区,http://oil.chem99.com/news/26783529.html,1.4,26.69%,13.85,-35.71%,2017-12-08,0.9,1.5
354.17,337.7,-0.80%,2018-06-01 16:00:01,华南,地区,http://oil.chem99.com/news/26783529.html,33.2,-4.65%,13.85,12.05%,2017-12-08,37.2,37.5
28.62,31.1,0.00%,2018-06-01 16:00:01,西南,地区,http://oil.chem99.com/news/26783529.html,2.7,8.67%,13.85,-7.41%,2017-12-08,2.5,2.5
151.21,128.84,-4.48%,2018-06-01 16:00:01,西北,地区,http://oil.chem99.com/news/26783529.html,10.3,-14.79%,13.85,24.27%,2017-12-08,12.8,13.4
165.02,168,-25.27%,2018-06-01 16:00:14,华北,地区,http://oil.chem99.com/news/27107444.html,10.25,1.81%,10.35,0.98%,2018-01-11,10.35,13.85
346.66,443.36,-15.23%,2018-06-01 16:00:14,东北,地区,http://oil.chem99.com/news/27107444.html,23,27.89%,10.35,33.61%,2018-01-11,30.73,36.25
643.35,704.99,-16.28%,2018-06-01 16:00:14,山东,地区,http://oil.chem99.com/news/27107444.html,50.9,9.58%,10.35,12.67%,2018-01-11,57.35,68.5
655.93,680.63,-3.81%,2018-06-01 16:00:14,华东,地区,http://oil.chem99.com/news/27107444.html,60.9,3.77%,10.35,3.61%,2018-01-11,63.1,65.6
17.35,24.96,300.00%,2018-06-01 16:00:14,华中,地区,http://oil.chem99.com/news/27107444.html,0.49,43.86%,10.35,634.69%,2018-01-11,3.6,0.9
388.47,369.9,-13.44%,2018-06-01 16:00:14,华南,地区,http://oil.chem99.com/news/27107444.html,34.3,-4.78%,10.35,-6.12%,2018-01-11,32.2,37.2
31.62,34.3,28.00%,2018-06-01 16:00:14,西南,地区,http://oil.chem99.com/news/27107444.html,3,8.48%,10.35,6.67%,2018-01-11,3.2,2.5
159.55,140.84,-6.25%,2018-06-01 16:00:14,西北,地区,http://oil.chem99.com/news/27107444.html,8.34,-11.73%,10.35,43.88%,2018-01-11,12,12.8
24.6,34.74,13.05%,2018-06-01 16:00:25,东北,地区,http://oil.chem99.com/news/27390421.html,24.6,41.22%,34.74,41.22%,2018-02-09,34.74,30.73
