status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
停产,80,华东,2018-05-31 16:29:59,1月8日至4月中旬,地炼,金海宏业,http://oil.chem99.com/news/27827453.html,2018-04-04
检修,70,华东,2018-05-31 16:29:59,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/27827453.html,2018-04-04
开工,75,华东,2018-05-31 16:29:59,4月3日开工产沥青,地炼,阿尔法,http://oil.chem99.com/news/27827453.html,2018-04-04
产渣油,100,华北,2018-05-31 16:29:59,11月中旬-2018年4月下旬,地炼,鑫海石化,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,50,华北,2018-05-31 16:29:59,26日起生产沥青,地炼,凯意石化,http://oil.chem99.com/news/27827453.html,2018-04-04
扩产能,70,华北,2018-05-31 16:29:59,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/27827453.html,2018-04-04
停工,50,西北,2018-05-31 16:29:59,2月初停工，计划3月检修至4月底,中石化,塔河炼化,http://oil.chem99.com/news/27827453.html,2018-04-04
,,华南,2018-05-31 16:30:02,,,,http://oil.chem99.com/news/27897024.html,2018-04-12
,,华东,2018-05-31 16:30:02,,,,http://oil.chem99.com/news/27897024.html,2018-04-12
,,山东,2018-05-31 16:30:02,,,,http://oil.chem99.com/news/27897024.html,2018-04-12
,,东北,2018-05-31 16:30:02,,,,http://oil.chem99.com/news/27897024.html,2018-04-12
,,西北,2018-05-31 16:30:02,,,,http://oil.chem99.com/news/27897024.html,2018-04-12
,,西南,2018-05-31 16:30:02,,,,http://oil.chem99.com/news/27897024.html,2018-04-12
,,华南,2018-05-31 16:30:06,,,,http://oil.chem99.com/news/27964737.html,2018-04-19
,,华东,2018-05-31 16:30:06,,,,http://oil.chem99.com/news/27964737.html,2018-04-19
,,山东,2018-05-31 16:30:06,,,,http://oil.chem99.com/news/27964737.html,2018-04-19
,,东北,2018-05-31 16:30:06,,,,http://oil.chem99.com/news/27964737.html,2018-04-19
,,西北,2018-05-31 16:30:06,,,,http://oil.chem99.com/news/27964737.html,2018-04-19
