status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
检修,70,华东,2018-05-31 15:21:09,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28361360.html,
产沥青,70,华东,2018-05-31 15:21:09,恢复沥青生产,中石化,上海石化,http://oil.chem99.com/news/28361360.html,
产沥青,160,华东,2018-05-31 15:21:09,恢复沥青生产,中石化,镇海炼化,http://oil.chem99.com/news/28361360.html,
停产,80,华东,2018-05-31 15:21:09,6月计划停工,地炼,金海宏业,http://oil.chem99.com/news/28361360.html,
产沥青,100,华北,2018-05-31 15:21:09,5月17日起正常销售,地炼,鑫海石化,http://oil.chem99.com/news/28361360.html,
扩产能,70,华北,2018-05-31 15:21:09,1月-8月,中石油,中油秦皇岛,http://oil.chem99.com/news/28361360.html,
开工,50,西北,2018-05-31 15:21:09,恢复沥青生产,中石化,塔河炼化,http://oil.chem99.com/news/28361360.html,
检修,110,西北,2018-05-31 15:21:09,8月2日至9月20日,中石油,克拉玛依,http://oil.chem99.com/news/28361360.html,
检修,100,东北,2018-05-31 15:21:09,5月25日起检修，为期20天,地炼,盘锦北沥,http://oil.chem99.com/news/28361360.html,
检修,60,东北,2018-05-31 15:21:09,6月计划检修，为期10天,中海油,中海油营口,http://oil.chem99.com/news/28361360.html,
停工,30,山东,2018-05-31 15:21:13,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/27699085.html,2018-03-22
产渣油,170,山东,2018-05-31 15:21:13,推迟至4月1日转产沥青,地炼,东明石化,http://oil.chem99.com/news/27699085.html,2018-03-22
产沥青,110,山东,2018-05-31 15:21:13,4日起转沥青,地炼,滨阳燃化,http://oil.chem99.com/news/27699085.html,2018-03-22
产渣油,160,山东,2018-05-31 15:21:13,12月下旬起,地炼,中化弘润,http://oil.chem99.com/news/27699085.html,2018-03-22
产渣油,100,山东,2018-05-31 15:21:13,计划下周转产沥青,地炼,科力达,http://oil.chem99.com/news/27699085.html,2018-03-22
产沥青,60,山东,2018-05-31 15:21:13,给中油代加工，预计下周出产品,地炼,岚桥石化,http://oil.chem99.com/news/27699085.html,2018-03-22
停工,30,华南,2018-05-31 15:21:13,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/27699085.html,2018-03-22
检修,40,西南,2018-05-31 15:21:13,1月15日至待定,中海油,中海四川,http://oil.chem99.com/news/27699085.html,2018-03-22
停产,80,华东,2018-05-31 15:21:13,1月8日至3月下旬,地炼,金海宏业,http://oil.chem99.com/news/27699085.html,2018-03-22
检修,70,华东,2018-05-31 15:21:13,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/27699085.html,2018-03-22
检修,75,华东,2018-05-31 15:21:13,2月1日-3月下旬,地炼,阿尔法,http://oil.chem99.com/news/27699085.html,2018-03-22
产渣油,100,华北,2018-05-31 15:21:13,11月中旬-2018年3月,地炼,鑫海石化,http://oil.chem99.com/news/27699085.html,2018-03-22
停工,50,华北,2018-05-31 15:21:13,月底有开工计划,地炼,凯意石化,http://oil.chem99.com/news/27699085.html,2018-03-22
